time,location,location_encoded,app_num,app_num_encoded,phone_num,phone_num_encoded,onsite_num,onsite_num_encoded,offer_num,offer_num_encoded,offer_status,offer_got_offer,looking_fulltime,edu,edu_encoded,job_type,job_dev,job_mkt,job_fin,job_eng,job_sci,job_cons,job_acct,job_data,job_other
12/3/2018 18:40:19,The US,US,2,2,1,1,0,0,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Education,0,0,0,0,0,0,0,0,1
12/4/2018 11:18:51,The US,US,40,40,1,1,1,1,,,I'm still looking for an internship offer! (Mình vẫn đang chờ offer thực tập),0,0,MBA,g,Finance (Tài chính),0,0,1,0,0,0,0,0,0
12/4/2018 11:33:00,,,,,,,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0
12/4/2018 13:58:34,The US,US,25,25,0,0,0,0,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Data analysis,0,0,0,0,0,0,0,1,0
12/5/2018 2:54:07,The US,US,none,,none,,none,0,,,I'm still looking for an internship offer! (Mình vẫn đang chờ offer thực tập),0,0,"Senior/Final year (SV năm cuối) <-- check this option if this is your final year, even if it's your 3rd or 5th year",u,nursing,0,0,0,0,0,0,0,0,1
12/5/2018 15:11:27,The US,US,25,25,3,3,0,0,,,I'm still looking for an internship offer! (Mình vẫn đang chờ offer thực tập),0,0,MBA,g,Finance (Tài chính),0,0,1,0,0,0,0,0,0
12/5/2018 16:45:12,"The US, The UK",M,30,30,8,8,2,2,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,PhD (Mới tốt nghiệp Tiến sĩ),g,Engineering that is not Software (Kĩ sư nhưng không phải Kĩ sư phần mềm),0,0,0,1,0,0,0,0,0
12/6/2018 21:38:02,,,,,,,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0
12/7/2018 11:52:00,The US,US,5,5,0,0,0,0,,,I'm still looking for an internship offer! (Mình vẫn đang chờ offer thực tập),0,0,Master (Mới tốt nghiệp Thạc sĩ),g,Law,0,0,0,0,0,0,0,0,1
12/9/2018 22:44:33,The US,US,100,100,3,3,1,1,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Finance (Tài chính),0,0,1,0,0,0,0,0,0
12/12/2018 16:29:55,,,,,,,,,,,,1,1,,,,0,0,0,0,0,0,0,0,0
12/17/2018 12:59:59,The US,US,80,80,8,8,0,0,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,Master (Mới tốt nghiệp Thạc sĩ),g,Software Development (Lập trình),1,0,0,0,0,0,0,0,0
12/19/2018 0:29:34,Vietnam,V,"Rất nhiều, khá lâu thời gian rồi ko nhớ chính xác. Hiện tại cũng gửi khá nhiều",100,5,5,10,10,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working > 10 years, switching jobs (đã đi làm >10 năm, đang đổi việc)",w,"Finance (Tài chính), Marketing, Engineering that is not Software (Kĩ sư nhưng không phải Kĩ sư phần mềm), Quản lý dự án",0,1,1,1,0,0,0,0,1
12/26/2018 14:49:49,The US,US,15,15,2,2,0,0,,,I'm still looking for an internship offer! (Mình vẫn đang chờ offer thực tập),0,0,Master (Mới tốt nghiệp Thạc sĩ),g,Software Development (Lập trình),1,0,0,0,0,0,0,0,0
12/27/2018 0:06:10,The US,US,30,30,5,5,1,1,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,"Working > 10 years, switching jobs (đã đi làm >10 năm, đang đổi việc)",w,"Communications, PR",0,0,0,0,0,0,0,0,1
